number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder
4020,01.03.2020,NO WAR WITH IRAN at 200 BPM,Jersey City Studio3,Trump,"Electric Guitar, Bass, Synths, Drums",Electric Guitar,"Bass, Synths, Drums",Angry,Shadow,Rock,"Anthem, Fun, Frustrated",Anthem,"Fun, Frustrated","Jamuary, War",Iran,1:07,C,100,https://youtu.be/UCaoFZ_rxCk,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4021,01.04.2020,LOUD soft LOUD,Jersey City Studio3,Life,"Electric Guitar, Bass, Synths, Drums",Electric Guitar,"Bass, Synths, Drums",Confused,Shadow,Rock,"Weird, Fun, Driving, Soulful, Light, Heavy",Weird,"Fun, Driving, Soulful, Light, Heavy",Jamuary,,1:17,D,78,https://youtu.be/AuxmzVFs2yw,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4022,01.05.2020,Made Up Tuning,Jersey City2,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Shadow,Folk,"Bouncy, Wistful",Bouncy,Wistful,"Jamuary, Improv, Death",,2:46,A,140,https://youtu.be/zsgrIPnl2Bg,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4023,01.06.2020,Shadowboxing,Jersey City Studio3,Poetic,"Electric Guitar, Synths, Drums",Electric Guitar,"Synths, Drums",Intense,Shadow,Rock,"Driving, Wistful, Dreamy",Driving,"Wistful, Dreamy",Jamuary,,1:51,Eb,130,https://youtu.be/GBMOOK-C8JE,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4024,01.07.2020,There She Goes,Jersey City2,Poetic,Guitalele,Guitalele,,Pensive,Shadow,Folk,"Personal, Wistful ",Personal,Wistful ,Jamuary,,2:46,G,112,https://youtu.be/HHSbnpXhILk,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4025,01.08.2020,The Wilhelm Scream,Jersey City Studio3,Pop Culture,"Synths, Drum Machine",Synths,Drum Machine,Chill,Clean,Electro,"Fun, Funny",Fun,Funny,Jamuary,,1:32,F,120,https://youtu.be/XbFWXdQ7KOc,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4026,01.09.2020,Sad Monkeys,Jersey City Studio3,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Pensive,Shadow,Electro,"Anthem, Wistful, Good",Anthem,"Wistful, Good","Jamuary, Collab","Brittain, Ashford",3:20,A,120,https://youtu.be/kfjRairlxa8,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4027,01.10.2020,Am I Me Or My Clone?,Jersey City Studio3,Nerd,Vocals,Vocals,,Silly,Shadow,Acapella,"Anthem, Fun",Anthem,Fun,,,0:58,G,75,https://youtu.be/c8Yz1FlFC0Y,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4028,01.11.2020,Leave A Little Room,Jersey City2,Poetic,Guitalele,Guitalele,,Chill,Clean,Folk,"Wistful, Delicate, Rambling",Wistful,"Delicate, Rambling",Improv,,2:22,F#,130,https://youtu.be/5zOdP3sRnlY,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4029,01.12.2020,Now That Bernie's Surging,Jersey City Studio3,Bernie,"Electric Guitar, Drums",Electric Guitar,Drums,Angry,Shadow,Rock,"Anthem, Frustrated, Hopeful, Politics",Anthem,"Frustrated, Hopeful, Politics",,,1:08,A,84,https://youtu.be/L1Bl-A6EWhg,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4030,1/13/2020,I've Got No Rhythm,Jersey City2,Poetic,"Acoustic Guitar, Drums",Acoustic Guitar,Drums,Chill,Shadow,Folk,"Anthem, Rough",Anthem,Rough,Improv,,2:40,Eb,82,https://youtu.be/xzED3tbBurs,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4031,1/14/2020,"Run, Human, Run",Jersey City Studio3,Nerd,"Piano, Synths, Drums",Piano,"Synths, Drums",Intense,Clean,Rock,"Anthem, Fun, Funny",Anthem,"Fun, Funny",,,1:48,A,75,https://youtu.be/gi2ZYSrfV58,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4032,1/15/2020,Mom And Dad Are Fighting,Jersey City Studio3,Politics,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Confused,Clean,Rock,"Anthem, Funny",Anthem,Funny,,"Bernie, Warren",1:08,F,81,https://youtu.be/YUMSYe7NK3w,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4033,1/16/2020,The Future That Doesn't Exist,Jersey City2,Apocalypse,"Acoustic Guitar, Drums",Acoustic Guitar,Drums,Anxious,Shadow,Folk,"Anthem, Wistful, Scary",Anthem,"Wistful, Scary",,,3:17,F,83,https://youtu.be/YG56oyqVWnE,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4034,1/17/2020,Stressed About Money,Jersey City Studio3,Poetic,Piano,Piano,,Pensive,Shadow,Folk,"Rambling, Rough, Funny",Rambling,"Rough, Funny",,,3:58,C,94,https://youtu.be/1WT4epWJuqw,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4035,1/18/2020,We Can't Control Anything,Jersey City Studio3,Poetic,"Synths, Electrc Guitar, Drums",Synths,"Electrc Guitar, Drums",Anxious,Shadow,Folk,"Anthem, Fun, Bouncy",Anthem,"Fun, Bouncy",,,1:40,A,145,https://youtu.be/fHU_iqSUq2Y,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4036,1/19/2020,"Me, On The Clouds",Jersey City Studio3,Epiphany,"Piano, Electric Guitar, Bass, Drums",Piano,"Electric Guitar, Bass, Drums",Silly,Clean,Folk,"Fun, Funny",Fun,Funny,,,2:01,Bb,134,https://youtu.be/pnS_RxX2prA,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4037,1/20/2020,The Road Is Closed,Jersey City2,Poetic,Acoustic Guitar,Acoustic Guitar,,Pensive,Shadow,Folk,"Dark, Rambling",Dark,Rambling,Improv,,2:47,F,96,https://youtu.be/8GLCHQQk9LU,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4038,1/21/2020,Guns Are My Personality,Jersey City Studio3,Politics,"Piano, Drums",Piano,Drums,Angry,Clean,Rock,"Anthem, Frustrated, Funny",Anthem,"Frustrated, Funny",Guns,,1:52,D,122,https://youtu.be/4UyHpLAYe0I,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4039,1/22/2020,"(I'm In The Ghetto) Ratatata, but It's Lofi And Sad",Jersey City Studio3,Remix,"Synths, Electric Guitar, Drums",Synths,"Electric Guitar, Drums",Chill,Clean,Folk,Funny,Funny,,,TikTok,2:12,D,143,https://youtu.be/d618O7cS7wM,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4040,1/23/2020,WHY WHY WHY WHY WHY YOU GETTIN NERVOUS MAN,Jersey City Studio3,Politics,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Angry,Clean,Hard Rock,"Anthem, Fun, Remix",Anthem,"Fun, Remix",,Joe Biden,1:12,G,125,https://youtu.be/yAso6BsutFA,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4041,1/24/2020,I Learned Absolutely Nothing,Jersey City2,Poetic,Acoustic Guitar,Acoustic Guitar,,Sad,Shadow,Folk,"Dark, Funny, Good",Dark,"Funny, Good",,,2:50,G,103,https://youtu.be/afcv2ixQyjQ,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4042,1/25/2020,Are We Prepared For What's Coming?,Jersey City2,Apocalypse,Acoustic Guitar,Acoustic Guitar,,Anxious,Shadow,Folk,"Dark, Looming, Rambling",Dark,"Looming, Rambling",Improv,,3:55,F,100,https://youtu.be/hvm6olwzwD8,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4043,1/26/2020,I'm Not Gonna Go That Way,Jersey City2,Poetic,"Ukulele, Drums",Ukulele,Drums,Pensive,Shadow,Folk,"Rambling, Rough",Rambling,Rough,,,3:57,Fm,120,https://youtu.be/nKkwhBarnB8,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4044,1/27/2020,MeaningConf2019,Jersey City Studio3,Conference,"Piano, Bass, Drums",Piano,"Bass, Drums",Chill,Clean,Electro,"Funny, Fun",Funny,Fun,,Twitter,1:53,E,135,https://youtu.be/tI7JNsblKIw,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4045,1/28/2020,Forecasters Utilize Output from a Convection Permitting Ensemble Forecast System?,Jersey City Studio3,Science,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Silly,Clean,Rock,"Fun, Anthem, Good",Fun,"Anthem, Good",Scientific Paper,,3:07,A,135,https://youtu.be/OSp46STV8KU,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4046,1/29/2020,One Whole Side of My Face Is Numb,Jersey City2,Life,"Baritone Ukulele, Drums",Baritone Ukulele,Drums,Silly,Clean,Folk,Funny,Funny,,,,2:45,D,87,https://youtu.be/hPBDGEAt2rw,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4047,1/30/2020,Time and Space Are Mandatory (99u Conference2019),Jersey City Studio3,Conference,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Excited,Clean,Folk,Fun,Fun,,,Twitter,3:20,Ab,103,https://youtu.be/jQHczJP7V2o,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4048,1/31/2020,My Banjo's Out of Tune,Jersey City Studio3,Animals,"Banjo, Drums",Banjo,Drums,Silly,Clean,Folk,"Funny, Weird",Funny,Weird,Frogs,,0:54,Eb,100,https://youtu.be/S59MLKGdxfs,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4049,02.01.2020,Garfield Books,Jersey City2,Life,Electric Guitar,Electric Guitar,,Silly,Shadow,Folk,"Rambling, Fun",Rambling,Fun,Improv,"Westford, VT",3:37,Db,80,https://youtu.be/gEQpKCyIOM8,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4050,02.02.2020,I Want To Keep You Here,Jersey City2,Poetic,Banjo,Banjo,,Chill,Shadow,Folk,"Rambling, Distortion",Rambling,Distortion,Improv,,2:28,C,102,https://youtu.be/xAxqucBn8UU,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4051,02.03.2020,But The InternetIs Down,Jersey City Studio3,Life,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Hip Hop,Funny,Funny,,,,1:47,E,75,https://youtu.be/ROvPxdVFUgk,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4052,02.04.2020,The Appearance of A Conflict of Interest,Jersey City Studio3,Politics,"Electric Guitar, Synths, Drums",Electric Guitar,"Synths, Drums",Angry,Shadow,Rock,"Frustrated, Dreamy",Frustrated,Dreamy,,,1:31,C,130,https://youtu.be/VDAiC_x-FNI,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4053,02.05.2020,Don't That Sound Good? (Yes It Does!),Jersey City Studio3,Life,"Synths, Drum Machine",Synths,Drum Machine,Sad,Shadow,Rock,"Fun, Personal, Soulful",Fun,"Personal, Soulful",,,2:03,C,80,https://youtu.be/V7foXIP_AHw,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4054,02.06.2020,Cheese Sandwich,"Keene, NH",Food,Guitalele,Guitalele,,Tired,Shadow,Folk,Funny,Funny,,Cheese ,"Bernie, Marc Mann",2:51,G,102,https://youtu.be/0wNlC_FqS9s,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4055,02.07.2020,Take A Bernie Journey,"Keene, NH",Bernie,Guitalele,Guitalele,,Pensive,Shadow,Folk,"Wistful, Delicate",Wistful,Delicate,,,2:40,Ebm,110,https://youtu.be/RZWLwWd7P1c,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4056,02.08.2020,We'll Win For Us And Bernie,"Keene, NH",Bernie,Guitalele,Guitalele,,Excited,Clean,Folk,"Wistful, Driving",Wistful,Driving,,,2:38,Db,92,https://youtu.be/SruZlkSvgZM,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4057,02.09.2020,Baritone Tone,Jersey City2,Music,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Folk,Rambling,Rambling,,Improv,,2:12,D,122,https://youtu.be/lNmVtoWl0Ec,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4058,02.10.2020,Why Am I Here At All?,Jersey City2,Poetic,Piano,Piano,,Anxious,Clean,Folk,"Rambling, Rough",Rambling,Rough,Improv,,2:27,Dm,120,https://youtu.be/V7jESEv7ivo,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4059,02.11.2020,Bloomberg Has Class Solidarity (Do you?),Jersey City Studio3,Politics,"Synths, Drum Machine",Synths,Drum Machine,Angry,Clean,Electro,"Frustrated, Driving, Fun",Frustrated,"Driving, Fun",Class Warfare,Michael Bloomberg,1:12,Am,85,https://youtu.be/D8seYbAFqAk,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4060,02.12.2020,Pete Doesn't Know How To Eat And He's Also A Corporate Shill,Jersey City Studio3,Politics,"Piano, Drums",Piano,Drums,Silly,Clean,Rock,Funny,Funny,,,Pete Buttigieg,0:39,D,100,https://youtu.be/YxBpLEv__GU,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4061,2/13/2020,There's Nothing Left of The Old World,Jersey City Studio3,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Anxious,Shadow,Electro,"Rambling, Anthem, Driving, Dark",Rambling,"Anthem, Driving, Dark",,,1:21,C,110,https://youtu.be/p6ewj_LrCPY,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4062,2/14/2020,The Older I Get,"Avon, CT",Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Shadow,Folk,"Rambling, Rough",Rambling,Rough,Improv,,3:17,F,104,https://youtu.be/e79cJRdiVYM,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4063,2/15/2020,Why Do I Listen To Him,"Avon, CT",Poetic,Acoustic Guitar,Acoustic Guitar,,Sad,Shadow,Folk,"Personal, Wistful, Depressed",Personal,"Wistful, Depressed",,,3:35,Gm,102,https://youtu.be/RSktG4dfJ4o,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4064,2/16/2020,Capitalism Is Just The Way It Has To Be,"Avon, CT",Politics,Acoustic Guitar,Acoustic Guitar,,Angry,Clean,Folk,"Rambling, Driving, Dark",Rambling,"Driving, Dark",Class Warfare,,2:37,Eb,112,https://youtu.be/uCdjBBozof4,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4065,2/17/2020,I Am Transparent,Jersey City2,Poetic,Ukulele,Ukulele,,Pensive,Shadow,Folk,"Rambling, Rough",Rambling,Rough,Improv,,6:04,Bb,100,https://youtu.be/wX9Yau0Wf94,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4066,2/18/2020,Isn't That Nice?,Jersey City2,Poetic,Ukulele,Ukulele,,Sad,Clean,Folk,"Rambling, Wistful",Rambling,Wistful,Improv,,2:33,C,138,https://youtu.be/0Zutmlb0qTg,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4067,2/19/2020,"Hello, Dancing Baby From The 90s",Jersey City Studio3,Internet,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Anxious,Clean,Rock,"Funny, Catchy, Looming",Funny,"Catchy, Looming",,,1:06,C,120,https://youtu.be/lzr_cYdVR2c,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4068,2/20/2020,Terusama,Jersey City Studio3,Commission,"Electric Guitar, Piano, Bass, Drums",Electric Guitar,"Piano, Bass, Drums",Excited,Clean,Rock,Fun,Fun,,,,1:09,E,130,https://youtu.be/fyp4O4s5tk4,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4069,2/21/2020,To Be Worthy,Jersey City2,Poetic,Guitalele,Guitalele,,Chill,Shadow,Folk,"Rambling, Rough, Fun",Rambling,"Rough, Fun",Improv,,2:43,Ab,96,https://youtu.be/Yc74g3UipOY,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4070,2/22/2020,The Dirty Four Hundred,Jersey City Studio3,Politics,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Angry,Clean,Electro,"Frustrated, Heavy",Frustrated,Heavy,Class Warfare,,1:13,A,120,https://youtu.be/bBiju6MaJ-c,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4071,2/23/2020,"Bernie Sanders Is Hot Hot Hot Hot Hot Right Now, You know?",Jersey City Studio3,Bernie,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Excited,Clean,Electro,"Fun, Funny",Fun,Funny,Remix,,1:25,C,112,https://youtu.be/DT6Zjw5_a6I,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4072,2/24/2020,How You Gonna Pay For That,Jersey City Studio3,Politics,"Piano, Electric Guitar, Bass, Drums",Piano,"Electric Guitar, Bass, Drums",Angry,Clean,Rock,"Frustrated, Fun, Funny",Frustrated,"Fun, Funny",,,2:10,G,90,https://youtu.be/1xn-Gc8BZwA,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4073,2/25/2020,Same Shit Every Song,Jersey City2,Poetic,Guitalele,Guitalele,,Anxious,Clean,Folk,"Dreamy, Frustrated",Dreamy,Frustrated,Improv,,4:23,Eb,98,https://youtu.be/J7DPgvlFdVs,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4074,2/26/2020,But Nobody Could Hear Me,Jersey City Studio3,Life,"String Quartet, Synths, Banjo, Drum Machine",String Quartet,"Synths, Banjo, Drum Machine",Anxious,Clean,Folk,"Dreamy, Wistful, Soulful, Narrative",Dreamy,"Wistful, Soulful, Narrative",,,1:37,E,90,https://youtu.be/iBIvRprDEJI,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4075,2/27/2020,You Deny Me,Jersey City Studio3,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Angry,Clean,Electro,"Frustrated, Driving, Fun",Frustrated,"Driving, Fun",,,1:22,C,140,https://youtu.be/_fuEEu7eXU4,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4076,2/28/2020,Trump Cut Funding To The CDC,Jersey City2,Trump,Guitalele,Guitalele,,Angry,Shadow,Folk,"Frustrated, Looming",Frustrated,Looming,,COVID,2:14,Bb,95,https://youtu.be/E0vcIwP0T3s,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4077,2/29/2020,The Corona of The Sun,Jersey City2,COVID,Guitalele,Guitalele,,Anxious,Shadow,Folk,"Rambling, Wistful, Dreamy",Rambling,"Wistful, Dreamy",Improv,,2:48,Gm,100,https://youtu.be/2w9_RgHR3KQ,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4078,03.01.2020,Crocodile,Jersey City2,Poetic,Guitalele,Guitalele,,Tired,Shadow,Folk,"Rambling, Rough, Dreamy",Rambling,"Rough, Dreamy",Improv,,3:06,Fm,97,https://youtu.be/0noKK3FkA2c,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4079,03.02.2020,Please Warren Supporters Put Policy Before Candidate,Jersey City Studio3,Politics,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Pleading,Shadow,Rock,"Frustrated, Plea, Fun",Frustrated,"Plea, Fun",,Warren,2:49,A,100,https://youtu.be/TyPaU592XBI,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4080,03.03.2020,The Centrist Avengers,Jersey City Studio3,Politics,"Electric Guitar, Bass, Drums",Electric Guitar,"Bass, Drums",Angry,Clean,Rock,"Frustrated, Driving, Heavy",Frustrated,"Driving, Heavy",Theme Song,,1:06,E,105,https://youtu.be/bfvraB9Ntz4,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4081,03.04.2020,The Seashells,Jersey City2,Poetic,Guitalele,Guitalele,,Sad,Shadow,Folk,"Rambling, Delicate",Rambling,Delicate,,,2:07,F,92,https://youtu.be/4QgsX8Ah7c8,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4082,03.05.2020,Everyone's A Pundit Now,Jersey City2,Politics,Guitalele,Guitalele,,Sad,Shadow,Folk,"Frustrated, Light",Frustrated,Light,,,2:51,F,125,https://youtu.be/wyDip_PLdso,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4083,03.06.2020,I Told You and Told You,Jersey City Studio3,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Clean,Rock,"Fun, Catchy, Driving, Groovy",Fun,"Catchy, Driving, Groovy",,,1:30,F,75,https://youtu.be/qIFpW8DOSR0,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4084,03.07.2020,"Darling, Honey, Baby",Jersey City2,Poetic,"Acoustic Guitar, Drums",Acoustic Guitar,Drums,Pensive,Shadow,Folk,"Rambling, Fun, Traditional",Rambling,"Fun, Traditional",Improv,,3:06,F,89,https://youtu.be/wejRCbIWRR4,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4085,03.08.2020,That's When You've Got To Get Out,Jersey City2,Poetic,"Acoustic Guitar, Drums",Acoustic Guitar,Drums,Chill,Shadow,Folk,"Rambling, Rough ",Rambling,Rough ,Improv,,2:39,F,102,https://youtu.be/P6wYruW44dA,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4086,03.09.2020,"Crumbling, Crumbling, Crumbling",Jersey City2,Poetic,Piano,Piano,,Anxious,Shadow,Folk,"Frustrated, Wistful, Dreamy",Frustrated,"Wistful, Dreamy",,,2:55,C,134,https://youtu.be/3hdoNL6w8HA,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4087,03.10.2020,Joe Biden's Gonna Lose To Donald Trump,Jersey City2,Politics,"Organ, Synths, Drum Machine",Organ,"Synths, Drum Machine",Anxious,Shadow,Rock,"Dark, Looming, Funny",Dark,"Looming, Funny",,Joe Biden,2:11,Gm,75,https://youtu.be/mz_SOiIvCCo,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4088,03.11.2020,The Good Ship Democrat,Jersey City Studio3,Politics,"Piano, Electric Guitar, Drums",Piano,"Electric Guitar, Drums",Intense,Shadow,Circus,"Fun, Funny, Frustrated, Scary ",Fun,"Funny, Frustrated, Scary ",,,1:33,Em,130,https://youtu.be/D8ap-xXjDzI,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4089,03.12.2020,Corona Crazy Time,Jersey City2,COVID,Piano,Piano,,Anxious,Shadow,Folk,Looming,Looming,,,,2:11,C,103,https://youtu.be/n4iqLtHof2A,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4090,3/13/2020,Corona Virus Anthem (Popular Merriam Webster Lookups),Jersey City Studio3,COVID,"Synths, Bass, Drums",Synths,"Bass, Drums",Anxious,Shadow,Rock,"Fun, Anthem, Frustrated",Fun,"Anthem, Frustrated",,,1:30,C,78,https://youtu.be/pSNr2OT9RuI,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4091,3/14/2020,It Sounds Kind of Weird,Jersey City2,Jupiter,"Electric Guitar, Synths, Drums",Electric Guitar,"Synths, Drums",Chill,Clean,Rock,Fun,Fun,,,,2:21,C,86,https://youtu.be/Wgk_SNF_FFQ,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
4092,3/15/2020,We've Been Here For Less Time Than The Dinosaurs,Jersey City2,Apocalypse,Electric Guitar,Electric Guitar,,Anxious,Shadow,Folk,"Fun, Looming, Dark",Fun,"Looming, Dark",Dinosaurs,,2:18,Am,110,https://youtu.be/BassYXkpM_X4,"Background, Backgroundadjustlayer, Genre, Beard, Instrument, Location, Mood, Noun, Shirt, Topic, FrameTopLayer"
